time,ax,ay,az,aT
3.6290,0.5428,0.6984,-2.3757,2.535
3.6310,0.4714,0.6825,-1.9355,2.106
3.6840,0.4681,0.6567,-1.5949,1.787
3.6880,0.5725,0.6452,-1.3357,1.590
3.6910,0.5858,0.5960,-1.0472,1.340
3.6950,0.4949,0.5846,-0.7398,1.065
3.6980,0.4948,0.5729,-0.5143,0.915
3.7010,0.4991,0.5047,-0.2140,0.741
3.7050,0.4428,0.5113,0.2265,0.713
3.7070,0.6057,0.6084,0.6951,1.105
3.7180,0.8302,0.8563,1.1794,1.677
3.7260,0.9565,1.0495,1.5534,2.105
3.7530,0.8988,1.0845,1.6994,2.207
3.7540,0.6693,0.9371,2.1095,2.403
3.7550,0.1094,0.6672,2.9689,3.045
3.7660,-0.6136,0.4363,4.1430,4.211
3.8040,-0.9214,0.5246,5.4214,5.524
3.8050,-0.9796,0.8608,6.4448,6.575
3.8070,-0.7690,1.2207,7.1751,7.319
3.8100,-0.4493,1.2136,7.3962,7.509
3.8140,-0.3218,0.6408,7.4107,7.445
3.8250,-0.2164,-0.2350,6.9053,6.913
3.8560,0.0359,-0.8046,5.9067,5.961
3.8580,0.3630,-1.0437,4.9817,5.103
3.8600,0.6325,-1.1492,4.2024,4.402
3.8670,0.7313,-1.0890,3.7771,3.998
3.9050,0.7167,-0.8309,3.5340,3.700
3.9060,0.7499,-0.4164,3.1855,3.299
3.9070,0.6184,-0.0631,2.9448,3.010
3.9080,0.3486,0.1229,2.5506,2.577
3.9130,0.1402,0.1076,1.9728,1.981
3.9240,0.0504,-0.0795,1.2354,1.239
3.9560,0.0847,-0.3803,0.4435,0.590
3.9570,0.4405,-0.6390,-0.8429,1.146
3.9580,0.7548,-0.7354,-1.6145,1.928
3.9630,0.8769,-0.8929,-2.3372,2.651
3.9980,0.8350,-1.1404,-2.9791,3.297
4.0000,0.7500,-1.3205,-3.5454,3.857
4.0010,0.6942,-1.3913,-4.1264,4.410
4.0060,0.6120,-1.6048,-4.5263,4.841
4.0170,0.4450,-1.7151,-4.8230,5.138
4.0460,0.1908,-1.7746,-4.8835,5.199
4.0550,-0.0340,-1.7528,-4.9828,5.282
4.0570,-0.1190,-1.6731,-5.0968,5.366
4.0580,-0.1947,-1.6116,-5.2424,5.488
4.0870,-0.3307,-1.6142,-5.2055,5.460
4.0880,-0.4774,-1.6438,-5.0557,5.338
4.0900,-0.7056,-1.7353,-4.7458,5.102
4.0920,-0.9340,-1.7554,-4.4610,4.884
4.1030,-1.0564,-1.7299,-4.1362,4.606
4.1120,-1.1181,-1.6796,-3.6096,4.135
4.1440,-1.0618,-1.6570,-3.0390,3.621
4.1470,-1.1393,-1.7604,-2.4822,3.249
4.1480,-1.3745,-1.9759,-1.9998,3.129
4.1520,-1.5742,-2.1447,-1.4895,3.049
4.1630,-1.5565,-2.3191,-0.9503,2.950
4.1730,-1.3414,-2.3302,-0.4916,2.733
4.1830,-1.0524,-2.0770,-0.0023,2.328
4.1920,-0.6235,-1.7126,0.6000,1.919
4.2200,-0.1394,-1.3696,1.4291,1.984
4.2210,0.3791,-0.9433,1.9822,2.228
4.2220,0.1995,-0.5508,2.5019,2.570
4.2320,-0.0416,-0.4873,2.4725,2.520
4.2670,-0.4867,-0.6317,2.3031,2.437
4.2690,-0.8812,-0.8472,1.6720,2.071
4.2700,-1.2522,-0.9276,1.2294,1.985
4.2720,-1.1653,-0.5951,0.5590,1.423
4.2820,-2.0661,-0.6104,2.7744,3.513
4.2960,-2.0853,-0.5693,1.9925,2.940
4.3250,-1.6441,0.0943,2.2461,2.785
4.3270,-0.8160,0.7792,2.6147,2.848
4.3290,-0.1446,1.0189,2.6040,2.800
4.3320,0.0469,0.6451,2.5442,2.625
4.3860,-0.0481,0.0370,2.2363,2.237
4.3890,0.0097,-0.4169,1.9055,1.951
4.3910,0.1502,-0.7278,1.3133,1.509
4.3920,0.3236,-0.8282,0.6927,1.127
4.3930,0.6647,-0.8099,0.3241,1.097
4.3950,0.9516,-0.7218,-0.0269,1.195
4.4010,1.1198,-0.5734,-0.3018,1.294
4.4110,1.0473,-0.4595,-0.5743,1.280
4.4330,0.8078,-0.4094,-0.9611,1.321
4.4350,0.5110,-0.3462,-1.4839,1.607
4.4410,0.2612,-0.1368,-1.9451,1.967
4.5030,0.0873,0.0745,-2.2787,2.282
4.5040,-0.1117,0.2785,-2.5966,2.614
4.5060,-0.2189,0.3152,-2.8839,2.909
4.5070,-0.2460,0.4112,-3.3622,3.396
4.5080,-0.3085,0.5694,-3.7441,3.800
4.5100,-0.3005,0.6613,-4.0030,4.068
4.5110,-0.1561,0.7057,-4.1258,4.189
4.5210,0.0036,0.7137,-4.0553,4.118
4.5310,0.2398,0.7646,-3.8463,3.929
4.5620,0.6666,0.9775,-3.4124,3.612
4.5640,0.6634,1.0448,-3.3631,3.584
4.5660,0.4452,0.9420,-3.4392,3.594
4.6040,0.0858,0.8161,-3.4592,3.555
4.6060,-0.1208,0.7653,-3.3736,3.461
4.6070,-0.2039,0.8420,-3.3046,3.416
4.6100,-0.2272,0.9861,-3.0722,3.235
4.6110,-0.1429,1.0713,-2.7610,2.965
4.6210,0.0214,1.1932,-2.4133,2.692
4.6300,0.1530,1.2785,-2.1896,2.540
4.6520,0.3188,1.3062,-2.1018,2.495
4.6540,0.4905,1.2482,-2.0208,2.425
4.6600,0.6468,1.1715,-2.1230,2.510
4.7340,0.6474,1.1443,-2.1786,2.545
4.7350,0.8079,1.0206,-2.0226,2.405
4.7360,0.9048,0.9123,-1.8768,2.274
4.7370,1.0552,0.9884,-1.6235,2.174
4.7390,1.1974,1.0803,-1.3797,2.122
4.7400,1.3152,1.2595,-1.0570,2.105
4.7410,1.4732,1.3849,-0.2310,2.035
4.7420,1.8242,1.3185,1.0498,2.484
4.7510,2.1258,1.2682,2.0805,3.234
4.7590,2.1908,1.2886,2.4712,3.545
4.7830,2.3387,1.3504,2.5991,3.748
4.7840,2.3130,1.0953,2.8044,3.797
4.7990,2.0963,0.7300,3.3388,4.009
4.8010,2.0669,0.6044,3.6106,4.204
4.8580,2.4154,0.8167,3.4101,4.258
4.8590,2.7172,0.9352,3.1252,4.246
4.8600,2.7224,0.7942,2.8530,4.023
4.8620,2.5333,0.4267,2.6828,3.714
4.8630,2.4661,0.1054,2.6090,3.592
4.8640,2.7067,0.0108,2.6477,3.786
4.8860,3.0708,-0.0125,2.9175,4.236
4.8880,3.1249,-0.2876,3.3449,4.587
4.8890,2.8881,-0.8005,3.6342,4.711
4.9240,2.6404,-1.2496,3.9723,4.931
4.9250,2.3838,-1.6411,4.0103,4.946
4.9270,2.1542,-1.8190,4.0170,4.908
4.9290,1.8647,-1.8873,4.0189,4.816
4.9520,1.4793,-1.9729,3.8884,4.604
4.9540,1.1125,-1.9553,3.5517,4.204
4.9580,0.9155,-1.7644,3.2567,3.815
4.9920,0.6487,-1.6414,2.8396,3.343
4.9930,0.2005,-1.7273,2.1387,2.756
4.9940,-0.2398,-1.8252,1.2520,2.226
4.9990,-0.5976,-1.8999,0.3383,2.020
5.0070,-0.9362,-2.0367,-0.5423,2.306
5.0290,-1.1325,-2.0964,-1.4242,2.776
5.0300,-1.2777,-2.1315,-2.1657,3.296
5.0460,-1.3902,-2.2156,-2.8357,3.858
5.0480,-1.3176,-2.3541,-3.7008,4.580
